case_id,ACT_1,ACT_2,ACT_3,ACT_4,Span_in_minutes
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,145
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,45
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,76
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,322
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,46
Case 101,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Flat Grinding - Machine 11,201
Case 101,Turning & Milling - Machine 8,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,139
Case 101,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 12,0
Case 101,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 12,Round Grinding - Machine 12,60
Case 101,Lapping - Machine 1,Round Grinding - Machine 12,Round Grinding - Machine 12,Final Inspection Q.C.,100
Case 101,Round Grinding - Machine 12,Round Grinding - Machine 12,Final Inspection Q.C.,Lapping - Machine 1,90
Case 101,Round Grinding - Machine 12,Final Inspection Q.C.,Lapping - Machine 1,Laser Marking - Machine 7,420
Case 101,Final Inspection Q.C.,Lapping - Machine 1,Laser Marking - Machine 7,Packing,281
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,269
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,217
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,146
Case 102,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,112
Case 102,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,50
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,104
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,241
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,181
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,213
Case 102,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,295
Case 102,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,60
Case 102,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,80
Case 102,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,32
Case 102,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,29
Case 102,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,104
Case 102,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,79
Case 102,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,0
Case 102,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Manual,69
Case 102,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,0
Case 102,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Machine 3,86
Case 102,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Machine 3,Round Grinding - Q.C.,35
Case 102,Round Grinding - Manual,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Machine 3,220
Case 102,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,66
Case 102,Round Grinding - Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Q.C.,19
Case 102,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Q.C.,Final Inspection Q.C.,2
Case 102,Round Grinding - Machine 3,Round Grinding - Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,168
Case 102,Round Grinding - Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,57
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,68
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,152
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,394
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,491
Case 103,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,172
Case 103,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,175
Case 103,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,186
Case 103,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,34
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,94
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,71
Case 103,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,260
Case 103,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,120
Case 103,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,Final Inspection Q.C.,1
Case 103,Laser Marking - Machine 7,Flat Grinding - Machine 11,Final Inspection Q.C.,Final Inspection Q.C.,52
Case 103,Flat Grinding - Machine 11,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,37
Case 103,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,230
Case 104,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,343
Case 104,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling Q.C.,254
Case 104,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,247
Case 106,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,330
Case 106,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,223
Case 106,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,Final Inspection Q.C.,28
Case 106,Laser Marking - Machine 7,Flat Grinding - Machine 11,Final Inspection Q.C.,Packing,73
Case 106,Flat Grinding - Machine 11,Final Inspection Q.C.,Packing,Final Inspection Q.C.,38
Case 108,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,337
Case 108,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,134
Case 108,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,100
Case 108,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,205
Case 108,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,64
Case 108,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Lapping - Machine 1,0
Case 108,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Lapping - Machine 1,Lapping - Machine 1,0
Case 108,Flat Grinding - Machine 11,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 3,59
Case 108,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 108,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,52
Case 108,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,166
Case 108,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Final Inspection Q.C.,172
Case 108,Round Grinding - Machine 3,Round Grinding - Machine 3,Final Inspection Q.C.,Packing,104
Case 108,Round Grinding - Machine 3,Final Inspection Q.C.,Packing,Final Inspection Q.C.,213
Case 109,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,407
Case 109,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,361
Case 109,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,0
Case 109,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,65
Case 109,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,334
Case 109,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,172
Case 109,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,Round Grinding - Machine 2,81
Case 109,Turning & Milling Q.C.,Laser Marking - Machine 7,Round Grinding - Machine 2,Round Grinding - Machine 2,5
Case 109,Laser Marking - Machine 7,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,21
Case 109,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,79
Case 109,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,26
Case 109,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,274
Case 109,Round Grinding - Machine 2,Round Grinding - Machine 2,Final Inspection Q.C.,Packing,53
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 10,336
Case 11,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 10,Turning & Milling - Machine 10,170
Case 11,Turning & Milling Q.C.,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,54
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,392
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling Q.C.,330
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 10,418
Case 11,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 10,Turning & Milling - Machine 10,0
Case 11,Turning & Milling Q.C.,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,98
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling Q.C.,0
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 9,80
Case 11,Turning & Milling - Machine 10,Turning & Milling Q.C.,Turning & Milling - Machine 9,Turning & Milling - Machine 10,335
Case 11,Turning & Milling Q.C.,Turning & Milling - Machine 9,Turning & Milling - Machine 10,Turning & Milling - Machine 10,0
Case 11,Turning & Milling - Machine 9,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Laser Marking - Machine 7,81
Case 11,Turning & Milling - Machine 10,Turning & Milling - Machine 10,Laser Marking - Machine 7,Turning & Milling Q.C.,419
Case 11,Turning & Milling - Machine 10,Laser Marking - Machine 7,Turning & Milling Q.C.,Laser Marking - Machine 7,193
Case 11,Laser Marking - Machine 7,Turning & Milling Q.C.,Laser Marking - Machine 7,Packing,32
Case 11,Turning & Milling Q.C.,Laser Marking - Machine 7,Packing,Final Inspection Q.C.,1
Case 11,Laser Marking - Machine 7,Packing,Final Inspection Q.C.,Turning & Milling Q.C.,85
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,166
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,339
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,60
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,189
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,611
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,362
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,686
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,430
Case 110,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,31
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,7
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,1
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,189
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,266
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,255
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,466
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,303
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,42
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,268
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,1314
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,429
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,554
Case 110,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,44
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,0
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,241
Case 110,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,8
Case 110,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,0
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,5
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,457
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,94
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Laser Marking - Machine 7,336
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Laser Marking - Machine 7,Flat Grinding - Machine 11,1326
Case 110,Turning & Milling - Machine 6,Laser Marking - Machine 7,Flat Grinding - Machine 11,Laser Marking - Machine 7,152
Case 110,Laser Marking - Machine 7,Flat Grinding - Machine 11,Laser Marking - Machine 7,Turning & Milling Q.C.,217
Case 110,Flat Grinding - Machine 11,Laser Marking - Machine 7,Turning & Milling Q.C.,Flat Grinding - Machine 11,79
Case 110,Laser Marking - Machine 7,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,63
Case 110,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,Turning & Milling Q.C.,172
Case 110,Flat Grinding - Machine 11,Lapping - Machine 1,Turning & Milling Q.C.,Turning & Milling Q.C.,297
Case 110,Lapping - Machine 1,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,132
Case 110,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,0
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,56
Case 110,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Lapping - Machine 1,258
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Lapping - Machine 1,Lapping - Machine 1,16
Case 110,Turning & Milling - Machine 6,Lapping - Machine 1,Lapping - Machine 1,Flat Grinding - Machine 11,99
Case 110,Lapping - Machine 1,Lapping - Machine 1,Flat Grinding - Machine 11,Turning & Milling - Machine 6,138
Case 110,Lapping - Machine 1,Flat Grinding - Machine 11,Turning & Milling - Machine 6,Lapping - Machine 1,160
Case 110,Flat Grinding - Machine 11,Turning & Milling - Machine 6,Lapping - Machine 1,Turning & Milling Q.C.,0
Case 110,Turning & Milling - Machine 6,Lapping - Machine 1,Turning & Milling Q.C.,Turning & Milling - Machine 6,420
Case 110,Lapping - Machine 1,Turning & Milling Q.C.,Turning & Milling - Machine 6,Lapping - Machine 1,0
Case 110,Turning & Milling Q.C.,Turning & Milling - Machine 6,Lapping - Machine 1,Turning & Milling - Machine 6,21
Case 110,Turning & Milling - Machine 6,Lapping - Machine 1,Turning & Milling - Machine 6,Turning & Milling - Machine 6,330
Case 110,Lapping - Machine 1,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,1
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Lapping - Machine 1,601
Case 110,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Lapping - Machine 1,Laser Marking - Machine 7,1405
Case 110,Turning & Milling - Machine 6,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,284
Case 110,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,Turning & Milling Q.C.,0
Case 110,Laser Marking - Machine 7,Lapping - Machine 1,Turning & Milling Q.C.,Round Grinding - Machine 3,13
Case 110,Lapping - Machine 1,Turning & Milling Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 110,Turning & Milling Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,1
Case 110,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,48
Case 110,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Packing,104
Case 110,Round Grinding - Machine 3,Round Grinding - Machine 3,Packing,Packing,251
Case 110,Round Grinding - Machine 3,Packing,Packing,Round Grinding - Machine 3,557
Case 110,Packing,Packing,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 110,Packing,Round Grinding - Machine 3,Round Grinding - Machine 3,Flat Grinding - Machine 11,0
Case 110,Round Grinding - Machine 3,Round Grinding - Machine 3,Flat Grinding - Machine 11,Lapping - Machine 1,80
Case 110,Round Grinding - Machine 3,Flat Grinding - Machine 11,Lapping - Machine 1,Final Inspection Q.C.,179
Case 110,Flat Grinding - Machine 11,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 3,1
Case 110,Lapping - Machine 1,Final Inspection Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 110,Final Inspection Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,Packing,69
Case 110,Round Grinding - Machine 3,Round Grinding - Machine 3,Packing,Final Inspection Q.C.,304
Case 111,Turning - Machine 4,Turning - Machine 4,Turning - Machine 4,Turning Q.C.,208
Case 111,Turning - Machine 4,Turning - Machine 4,Turning Q.C.,Turning & Milling - Machine 4,661
Case 111,Turning - Machine 4,Turning Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,241
Case 111,Turning Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,0
Case 111,Turning & Milling - Machine 4,Turning - Machine 4,Turning - Machine 4,Turning & Milling - Machine 4,341
Case 111,Turning - Machine 4,Turning - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,332
Case 111,Turning - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,562
Case 111,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,1561
Case 111,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,473
Case 111,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,506
Case 111,Turning & Milling - Machine 4,Turning & Milling Q.C.,Laser Marking - Machine 7,Laser Marking - Machine 7,649
Case 111,Turning & Milling Q.C.,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling - Machine 4,121
Case 111,Laser Marking - Machine 7,Laser Marking - Machine 7,Turning & Milling - Machine 4,Turning & Milling Q.C.,18
