Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Span,Work Order Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 103,Laser Marking - Machine 7,Machine 7- Laser Marking,54:00.0,46:00.0,000:52,52,Adjusting Nut,ID4355,D,50,0,0,
Case 103,Flat Grinding - Machine 11,Machine 11 - Grinding,27:00.0,04:00.0,000:37,52,Adjusting Nut,ID0998,D,50,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,07:00.0,57:00.0,003:50,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,58:00.0,35:00.0,003:37,52,Adjusting Nut,ID4618,D,0,0,0,
Case 103,Final Inspection Q.C.,Quality Check 1,03:00.0,04:00.0,000:01,52,Adjusting Nut,ID4618,D,50,0,0,
Case 103,Packing,Packing,00:00.0,00:00.0,000:00,52,Adjusting Nut,ID4820,D,50,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,43:00.0,26:00.0,005:43,33,Cable Head,ID4529,S,1,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,27:00.0,41:00.0,004:14,33,Cable Head,ID4529,D,19,0,0,
Case 104,Turning & Milling - Machine 5,Machine 5 - Turning & Milling,00:00.0,07:00.0,004:07,33,Cable Head,ID4429,D,13,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,54:00.0,54:00.0,002:00,33,Cable Head,ID4493,D,0,0,0,
Case 104,Turning & Milling Q.C.,Quality Check 1,55:00.0,41:00.0,000:46,33,Cable Head,ID4493,D,33,0,0,
Case 104,Laser Marking - Machine 7,Machine 7- Laser Marking,21:00.0,49:00.0,000:28,33,Cable Head,ID4718,D,33,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,18:00.0,34:00.0,007:16,15,Bearing,ID4167,S,0,0,0,
Case 105,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,18:00.0,31:00.0,003:13,15,Bearing,ID4932,D,15,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,14:00.0,44:00.0,005:30,39,Ballnut,ID0997,S,0,0,0,
Case 106,Turning & Milling - Machine 8,Machine 8 - Turning & Milling,55:00.0,38:00.0,003:43,39,Ballnut,ID4219,D,39,0,0,
Case 106,Turning & Milling Q.C.,Quality Check 1,00:00.0,28:00.0,000:28,39,Ballnut,ID4618,D,39,0,0,
Case 106,Laser Marking - Machine 7,Machine 7- Laser Marking,38:00.0,51:00.0,001:13,39,Ballnut,ID0998,D,39,0,0,
Case 106,Flat Grinding - Machine 11,Machine 11 - Grinding,42:00.0,20:00.0,000:38,39,Ballnut,ID4882,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,27:00.0,57:00.0,002:30,39,Ballnut,ID4618,D,0,0,0,
Case 106,Packing,Packing,00:00.0,00:00.0,000:00,39,Ballnut,ID4820,D,39,0,0,
Case 106,Final Inspection Q.C.,Quality Check 1,50:00.0,05:00.0,000:00,39,Ballnut,ID4618,D,39,0,0,
Case 107,Turning & Milling - Machine 10,Machine 10 - Grinding,36:00.0,47:00.0,005:11,20,Cable Head,ID4132,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,18:00.0,55:00.0,005:37,15,Bushing,ID4794,S,1,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,59:00.0,13:00.0,002:14,15,Bushing,ID4529,S,1,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,00:00.0,40:00.0,001:40,15,Bushing,ID4287,D,0,0,0,
Case 108,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,13:00.0,38:00.0,003:25,15,Bushing,ID4529,D,13,0,0,
Case 108,Turning & Milling Q.C.,Quality Check 1,20:00.0,24:00.0,001:04,15,Bushing,ID4287,D,14,1,0,
Case 108,Laser Marking - Machine 7,Machine 7- Laser Marking,52:00.0,07:00.0,000:00,15,Bushing,ID0998,D,14,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,00:00.0,15:00.0,000:00,15,Bushing,ID4528,D,0,0,0,
Case 108,Flat Grinding - Machine 11,Machine 11 - Grinding,05:00.0,04:00.0,000:59,15,Bushing,ID0420,D,14,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,35:00.0,50:00.0,000:00,15,Bushing,ID0420,D,0,0,0,
Case 108,Lapping - Machine 1,Machine 1 - Lapping,36:00.0,28:00.0,000:52,15,Bushing,ID0420,D,14,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,30:00.0,16:00.0,002:46,15,Bushing,ID4385,S,0,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,18:00.0,10:00.0,002:52,15,Bushing,ID4385,D,5,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,12:00.0,56:00.0,001:44,15,Bushing,ID0420,D,4,0,0,
Case 108,Round Grinding - Machine 3,Machine 3 - Round Grinding,57:00.0,30:00.0,003:33,15,Bushing,ID4872,D,5,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,00:00.0,52:00.0,004:52,15,Bushing,ID4287,D,0,0,0,
Case 108,Packing,Packing,00:00.0,00:00.0,000:00,15,Bushing,ID4820,D,14,0,0,
Case 108,Final Inspection Q.C.,Quality Check 1,00:00.0,27:00.0,000:27,15,Bushing,ID4287,D,14,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,14:00.0,01:00.0,006:47,50,Electrical Contact,ID4932,S,0,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,52:00.0,53:00.0,006:01,50,Electrical Contact,ID4167,S,2,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,00:00.0,15:00.0,000:00,50,Electrical Contact,ID4618,D,49,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,03:00.0,08:00.0,001:05,50,Electrical Contact,ID4529,S,1,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,09:00.0,43:00.0,005:34,50,Electrical Contact,ID4529,D,31,0,0,
Case 109,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,49:00.0,41:00.0,002:52,50,Electrical Contact,ID4932,D,16,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,00:00.0,21:00.0,001:21,50,Electrical Contact,ID4618,D,0,0,0,
Case 109,Turning & Milling Q.C.,Quality Check 1,18:00.0,23:00.0,000:05,50,Electrical Contact,ID4618,D,0,1,0,
Case 109,Laser Marking - Machine 7,Machine 7- Laser Marking,05:00.0,26:00.0,000:21,50,Electrical Contact,ID0998,D,49,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,03:00.0,22:00.0,001:19,50,Electrical Contact,ID4355,S,1,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,23:00.0,49:00.0,000:26,50,Electrical Contact,ID4355,D,3,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,34:00.0,08:00.0,004:34,50,Electrical Contact,ID4385,D,45,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,40:00.0,33:00.0,000:53,50,Electrical Contact,ID4445,S,0,0,0,
Case 109,Round Grinding - Machine 2,Machine 2 - Round Grinding,34:00.0,08:00.0,002:34,50,Electrical Contact,ID4445,D,49,0,0,
Case 109,Final Inspection Q.C.,Quality Check 1,25:00.0,50:00.0,003:25,50,Electrical Contact,ID4618,D,45,4,0,
Case 109,Packing,Packing,00:00.0,00:00.0,000:00,50,Electrical Contact,ID4491,D,45,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,04:00.0,40:00.0,005:36,100,Spur Gear,ID4132,S,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,59:00.0,49:00.0,002:50,100,Spur Gear,ID4641,D,1,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,00:00.0,54:00.0,000:54,100,Spur Gear,ID4287,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,50:00.0,22:00.0,006:32,100,Spur Gear,ID4641,D,17,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,08:00.0,38:00.0,005:30,100,Spur Gear,ID4132,D,18,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,39:00.0,37:00.0,006:58,100,Spur Gear,ID4932,D,19,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,46:00.0,01:00.0,000:00,100,Spur Gear,ID4641,D,7,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,00:00.0,38:00.0,001:38,100,Spur Gear,ID4287,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,35:00.0,50:00.0,000:00,100,Spur Gear,ID4641,D,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,36:00.0,56:00.0,001:20,100,Spur Gear,ID4641,S,0,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,57:00.0,32:00.0,005:35,100,Spur Gear,ID4641,D,14,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,14:00.0,29:00.0,000:00,100,Spur Gear,ID4618,D,60,0,0,
Case 11,Turning & Milling - Machine 9,Machine 9 - Turning & Milling,39:00.0,00:00.0,001:21,100,Spur Gear,ID4641,S,1,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,01:00.0,00:00.0,006:59,100,Spur Gear,ID4641,D,14,0,0,
Case 11,Turning & Milling - Machine 10,Machine 10 - Grinding,08:00.0,21:00.0,003:13,100,Spur Gear,ID4132,D,9,0,0,
Case 11,Laser Marking - Machine 7,Machine 7- Laser Marking,01:00.0,33:00.0,000:32,100,Spur Gear,ID4882,D,20,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,24:00.0,25:00.0,000:01,100,Spur Gear,ID4618,D,37,0,0,
Case 11,Laser Marking - Machine 7,Machine 7- Laser Marking,41:00.0,06:00.0,001:25,100,Spur Gear,ID4882,D,77,0,0,
Case 11,Packing,Packing,00:00.0,00:00.0,000:00,100,Spur Gear,ID4820,D,97,0,0,
Case 11,Final Inspection Q.C.,Quality Check 1,11:00.0,09:00.0,002:58,100,Spur Gear,ID4618,D,97,0,0,
Case 11,Turning & Milling Q.C.,Quality Check 1,10:00.0,11:00.0,000:01,100,Spur Gear,ID4618,D,0,3,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,49:00.0,35:00.0,002:46,500,Ballnut,ID4794,S,1,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,57:00.0,36:00.0,005:39,500,Ballnut,ID4529,S,3,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,00:00.0,00:00.0,001:00,500,Ballnut,ID4163,D,0,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,37:00.0,46:00.0,003:09,500,Ballnut,ID4529,D,10,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,16:00.0,27:00.0,010:11,500,Ballnut,ID4794,D,30,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,45:00.0,47:00.0,006:02,500,Ballnut,ID4167,D,14,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,00:00.0,26:00.0,011:26,500,Ballnut,ID4529,D,36,0,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,36:00.0,46:00.0,007:10,500,Ballnut,ID4641,D,21,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,20:00.0,51:00.0,000:31,500,Ballnut,ID4618,D,0,0,0,
Case 110,Turning & Milling Q.C.,Quality Check 1,22:00.0,29:00.0,000:07,500,Ballnut,ID4618,D,119,1,0,
Case 110,Turning & Milling - Machine 6,Machine 6 - Turning & Milling,28:00.0,29:00.0,000:01,500,Ballnut,ID4794,D,5,0,0,
