Problem Number,Problem Change Date,Days count,Problem Change Time,Problem Sub Status,Problem Status,Problem Latest Impact,Problem Involved ST Org line 3,Problem Involved ST Function Div,Problem Involved Owner ST,Product,Country,Problem Involved Action Owner Country,Problem Involved Action Owner First Name
1-322204195,2012-05-24,219,09:02:19+01:00,Wait,Accepted,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322204195,2012-05-24,0,10:03:31+01:00,Closed,Completed,Medium,Org line A2,A2_1,W15 2nd,PROD761,pl,POLAND,Adam
1-322581861,2009-09-18,-979,11:50:02+01:00,In Progress,Accepted,Low,Org line C,E_3,L54 2nd,PROD385,se,Sweden,Stefan
1-322581861,2009-11-17,60,14:07:38+01:00,Unmatched,Unmatched,Low,Org line C,E_3,L54 2nd,PROD385,se,Sweden,Stefan
1-322581861,2012-03-13,847,11:53:35+01:00,Closed,Completed,Low,Org line C,E_3,L54 2nd,PROD385,se,Sweden,Stefan
1-322980802,2009-09-21,-904,13:13:43+01:00,In Progress,Accepted,Medium,Org line V2,,T2 2nd,PROD631,se,Sweden,Kerstin
1-322980802,2012-02-07,869,13:22:11+01:00,Closed,Completed,Medium,Org line V2,,T2 2nd,PROD631,se,Sweden,Kerstin
1-323264491,2009-09-22,-868,13:22:05+01:00,In Progress,Accepted,Low,Org line C,C_5,N1 3rd,PROD476,se,Sweden,Reine
1-323264491,2009-09-22,0,13:25:17+01:00,Assigned,Accepted,Low,Org line C,C_5,N1 3rd,PROD476,se,Sweden,Reine
1-323264491,2012-05-24,975,09:57:49+01:00,Closed,Completed,Low,Org line C,C_5,N1 3rd,PROD476,se,Sweden,Reine
1-323462732,2009-09-23,-974,10:52:27+01:00,In Progress,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,2010-01-04,103,09:00:17+01:00,Assigned,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,2010-03-17,72,16:36:20+01:00,In Progress,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,2010-11-09,237,12:35:55+01:00,Assigned,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,2010-11-09,0,14:20:48+01:00,In Progress,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Rajashekar
1-323462732,2012-03-30,507,07:00:47+01:00,In Progress,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,Sweden,Kalpesh
1-323462732,2012-03-30,0,07:05:44+01:00,Assigned,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,INDIA,Tise
1-323462732,2012-04-19,20,09:01:14+01:00,In Progress,Accepted,High,Org line A2,D_1,L50 3rd,PROD611,in,INDIA,TulasiPrasad
1-323462732,2012-04-19,0,09:01:38+01:00,Closed,Completed,High,Org line A2,D_1,L50 3rd,PROD611,in,INDIA,TulasiPrasad
1-327329880,2009-10-14,-918,17:12:54+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-327329880,2009-12-02,49,14:24:37+01:00,Wait,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-327329880,2011-09-01,638,23:22:08+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-327329880,2012-02-01,153,09:46:54+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-327329880,2012-02-01,0,09:46:57+01:00,Closed,Completed,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-329451027,2009-10-26,-828,14:47:10+01:00,Wait,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,2009-10-27,1,09:57:26+01:00,Unmatched,Unmatched,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,2010-03-02,126,13:44:22+01:00,Awaiting Assignment,Queued,Low,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-329451027,2010-03-02,0,13:46:10+01:00,In Progress,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,2010-03-02,0,13:46:18+01:00,Wait,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,2011-04-11,405,08:10:20+01:00,Assigned,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Damian
1-329451027,2011-04-11,0,08:11:48+01:00,Assigned,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,2011-11-28,231,08:21:27+01:00,Wait,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,2012-03-30,123,09:53:50+01:00,In Progress,Accepted,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329451027,2012-03-30,0,09:53:53+01:00,Closed,Completed,Low,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-329647261,2009-10-27,-885,09:42:40+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,2009-10-27,0,09:42:49+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,2010-03-02,126,13:43:43+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,Sweden,Henrik
1-329647261,2010-03-02,0,13:44:26+01:00,In Progress,Accepted,Medium,Org line A1,,N5 2nd,PROD48,se,Brazil,Ricardo
1-329647261,2010-03-03,1,08:04:11+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Katarzyna
1-329647261,2010-06-13,102,21:32:03+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Katarzyna
1-329647261,2011-04-11,302,08:12:04+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Damian
1-329647261,2011-11-23,226,11:55:39+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Damian
1-329647261,2012-01-19,57,08:55:41+01:00,Closed,Completed,Medium,Org line A2,A2_2,G357 2nd,PROD48,se,POLAND,Damian
1-330634474,2009-10-30,-811,13:49:04+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-330634474,2009-10-30,0,13:57:13+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-330634474,2010-03-02,123,13:43:50+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,Sweden,Henrik
1-330634474,2010-03-02,0,13:45:25+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,POLAND,Katarzyna
1-330634474,2010-03-02,0,13:45:37+01:00,Wait,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,POLAND,Katarzyna
1-330634474,2012-03-30,759,09:54:30+01:00,Closed,Completed,Medium,Org line A2,A2_2,G357 2nd,PROD44,se,POLAND,Katarzyna
1-331478885,2009-11-04,-877,08:07:28+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-331478885,2010-03-03,119,15:51:55+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Roger
1-331478885,2010-03-03,0,15:52:18+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Piotr
1-331478885,2010-05-24,82,16:04:58+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Piotr
1-331478885,2010-08-09,77,11:39:59+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,Sweden,Henrik
1-331478885,2012-04-02,602,09:18:59+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-331478885,2012-04-02,0,09:19:30+01:00,Closed,Completed,Medium,Org line A2,A2_2,G357 2nd,PROD46,se,POLAND,Katarzyna
1-332389008,2009-11-09,-875,16:38:14+01:00,Awaiting Assignment,Queued,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,2009-11-24,15,09:41:50+01:00,In Progress,Accepted,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,2010-09-10,290,09:45:16+01:00,Wait,Accepted,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,2011-03-28,199,10:52:46+01:00,In Progress,Accepted,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,2012-01-04,282,15:53:26+01:00,Wait,Accepted,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-332389008,2012-04-13,100,12:41:36+01:00,Closed,Completed,Medium,Org line V2,,T12,PROD42,se,Sweden,Ingela
1-333164156,2009-11-12,-883,13:41:27+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,Belgium,Liesbet
1-333164156,2010-09-17,309,09:33:52+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,Belgium,Liesbet
1-333164156,2010-11-12,56,19:22:19+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Timothy
1-333164156,2010-11-23,11,15:10:22+01:00,Assigned,Accepted,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Ian
1-333164156,2011-01-07,45,14:55:04+01:00,Assigned,Accepted,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Alan
1-333164156,2011-01-11,4,17:13:42+01:00,Wait,Accepted,Medium,Org line A2,A2_1,G42 3rd,PROD787,be,United Kingdom,Alan
1-333164156,2011-05-19,128,14:45:16+01:00,In Progress,Accepted,Medium,Org line V11,,C8,PROD787,be,Denmark,Lars
1-333164156,2011-05-19,0,14:49:04+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_2,G8 2nd,PROD787,be,Belgium,Ibrahim
1-333164156,2011-08-25,98,14:24:01+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G8 2nd,PROD787,be,Belgium,Ibrahim
1-333164156,2011-08-25,0,14:24:43+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_4,G7 3rd,PROD787,be,Belgium,Ward
1-333164156,2011-08-25,0,14:25:33+01:00,Assigned,Accepted,Medium,Org line A2,A2_4,G7 3rd,PROD787,be,Belgium,Liesbet
1-333164156,2011-10-26,62,16:07:30+01:00,In Progress,Accepted,Medium,Org line A2,A2_4,G7 3rd,PROD787,be,Belgium,Liesbet
1-333164156,2012-03-30,156,10:45:20+01:00,Closed,Completed,Medium,Org line A2,A2_4,G7 3rd,PROD787,be,Belgium,Liesbet
1-335260940,2009-11-24,-857,09:44:43+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-335260940,2009-11-30,6,10:45:01+01:00,Awaiting Assignment,Queued,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-335260940,2010-03-14,104,13:40:26+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-335260940,2010-03-14,0,13:40:36+01:00,Unmatched,Unmatched,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-335260940,2012-01-18,675,14:26:41+01:00,Closed,Completed,Medium,Org line A2,A2_1,N15 2nd,PROD180,se,Belgium,Joris
1-337229341,2009-12-04,-775,12:10:14+01:00,Unmatched,Unmatched,Major,Org line A2,A2_3,G356 2nd,PROD147,se,Sweden,Lars
1-337229341,2010-11-29,360,11:52:49+01:00,Assigned,Accepted,Major,Org line A2,A2_3,G356 2nd,PROD147,se,Sweden,Lars
1-337229341,2012-04-14,502,16:22:00+01:00,In Progress,Accepted,Major,Org line A2,A2_3,G356 2nd,PROD147,se,Sweden,Lars
1-337229341,2012-04-14,0,16:22:21+01:00,Closed,Completed,Major,Org line A2,A2_3,G356 2nd,PROD147,se,Sweden,Lars
1-338946805,2009-12-14,-852,14:29:17+01:00,In Progress,Accepted,High,Org line A2,A2_3,M21 3rd,PROD708,se,Sweden,Andre
1-338946805,2012-01-10,757,09:32:43+01:00,In Progress,Accepted,High,Org line A2,A2_3,M21 3rd,PROD708,se,Sweden,Andre
1-338946805,2012-01-10,0,09:33:57+01:00,Closed,Completed,High,Org line A2,A2_3,M21 3rd,PROD708,se,Sweden,Andre
1-339798202,2009-12-16,-755,12:59:24+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G30 2nd,PROD191,se,INDIA,Minnie
1-339798202,2012-03-15,820,12:21:25+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,G30 2nd,PROD191,se,INDIA,Minnie
1-339798202,2012-03-15,0,12:21:47+01:00,Closed,Completed,Medium,Org line A2,A2_2,G30 2nd,PROD191,se,INDIA,Minnie
1-339889001,2009-12-16,-820,20:47:26+01:00,In Progress,Accepted,High,Org line A2,A2_1,L28 2nd,PROD577,se,Sweden,Kenny
1-339889001,2012-03-14,819,13:04:51+01:00,In Progress,Accepted,High,Org line A2,A2_1,L28 2nd,PROD577,se,Sweden,Kenny
1-339889001,2012-03-14,0,13:07:29+01:00,Closed,Completed,High,Org line A2,A2_1,L28 2nd,PROD577,se,Sweden,Kenny
1-340984229,2009-12-22,-813,09:09:31+01:00,In Progress,Accepted,Medium,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-340984229,2009-12-22,0,09:25:22+01:00,Unmatched,Unmatched,Medium,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-340984229,2012-02-01,771,12:38:06+01:00,Closed,Completed,Medium,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-341002175,2009-12-22,-771,10:56:03+01:00,Wait,Accepted,Low,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-341002175,2012-02-01,771,12:39:50+01:00,In Progress,Accepted,Low,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-341002175,2012-02-01,0,12:40:25+01:00,Closed,Completed,Low,Org line A2,A2_1,G345 2nd,PROD541,se,Sweden,J?i
1-342442140,2010-01-05,-757,16:42:20+01:00,In Progress,Accepted,Medium,Org line A2,A2_3,G354 3rd,PROD708,se,Sweden,Lena
1-342442140,2012-03-20,805,16:14:00+01:00,Closed,Completed,Medium,Org line A2,A2_3,G354 3rd,PROD708,se,Sweden,Lena
1-345132462,2010-01-14,-796,10:34:54+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,2010-01-27,13,10:43:29+01:00,Wait,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,2010-02-03,7,10:20:05+01:00,Assigned,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,2010-02-22,19,08:33:08+01:00,Wait,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,2011-09-01,556,23:17:47+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,Sweden,Tomas
1-345132462,2012-02-01,153,10:24:17+01:00,In Progress,Accepted,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-345132462,2012-02-01,0,10:24:59+01:00,Closed,Completed,Medium,Org line A2,A2_2,M1 2nd,PROD753,cn,China,Carrie
1-345255471,2010-01-14,-748,15:02:21+01:00,In Progress,Accepted,Medium,Org line C,E_4,G88 2nd,PROD793,gb,Sweden,Mats
1-345255471,2010-01-15,1,15:10:22+01:00,Awaiting Assignment,Queued,Medium,Org line C,E_4,G88 2nd,PROD793,gb,Sweden,Mats
